-19.679610	-1.266535	-20.946145
-19.684385	-1.263753	-20.948138
-19.689149	-1.260959	-20.950108
-19.693903	-1.258153	-20.952055
-19.698646	-1.255334	-20.953980
-19.703378	-1.252504	-20.955883
-19.708100	-1.249663	-20.957763
-19.712811	-1.246809	-20.959621
-19.717512	-1.243944	-20.961456
-19.722201	-1.241068	-20.963269
-19.726880	-1.238180	-20.965060
-19.731548	-1.235281	-20.966828
-19.736205	-1.232370	-20.968575
-19.740851	-1.229449	-20.970299
-19.745485	-1.226516	-20.972002
-19.750109	-1.223573	-20.973682
-19.754722	-1.220618	-20.975340
-19.759324	-1.217653	-20.976977
-19.763914	-1.214677	-20.978592
-19.768493	-1.211691	-20.980184
-19.773061	-1.208694	-20.981755
-19.777618	-1.205687	-20.983305
-19.782163	-1.202669	-20.984832
-19.786697	-1.199641	-20.986338
-19.791220	-1.196603	-20.987823
-19.795731	-1.193555	-20.989286
-19.800231	-1.190497	-20.990727
-19.804719	-1.187429	-20.992148
-19.809195	-1.184351	-20.993546
-19.813660	-1.181264	-20.994924
-19.818113	-1.178167	-20.996280
-19.822555	-1.175060	-20.997615
-19.826985	-1.171944	-20.998928
-19.831403	-1.168818	-21.000221
-19.835809	-1.165683	-21.001493
-19.840204	-1.162540	-21.002743
-19.844586	-1.159386	-21.003973
-19.848957	-1.156224	-21.005181
-19.853316	-1.153053	-21.006369
-19.857663	-1.149873	-21.007536
-19.861998	-1.146685	-21.008683
-19.866321	-1.143487	-21.009808
-19.870632	-1.140281	-21.010913
-19.874930	-1.137067	-21.011997
-19.879217	-1.133844	-21.013061
-19.883491	-1.130613	-21.014104
-19.887754	-1.127373	-21.015127
-19.892004	-1.124125	-21.016129
-19.896242	-1.120869	-21.017111
-19.900467	-1.117606	-21.018073
-19.904681	-1.114334	-21.019014
-19.908882	-1.111054	-21.019936
-19.913070	-1.107767	-21.020837
-19.917246	-1.104471	-21.021718
-19.921410	-1.101169	-21.022579
-19.925561	-1.097858	-21.023420
-19.929700	-1.094541	-21.024241
-19.933827	-1.091215	-21.025042
-19.937940	-1.087883	-21.025823
-19.942042	-1.084543	-21.026585
-19.946130	-1.081196	-21.027327
-19.950206	-1.077843	-21.028049
-19.954270	-1.074482	-21.028751
-19.958320	-1.071114	-21.029434
-19.962358	-1.067739	-21.030098
-19.966384	-1.064358	-21.030741
-19.970396	-1.060970	-21.031366
-19.974396	-1.057575	-21.031971
-19.978383	-1.054174	-21.032557
-19.982357	-1.050766	-21.033123
-19.986318	-1.047352	-21.033670
-19.990267	-1.043932	-21.034199
-19.994202	-1.040505	-21.034707
-19.998125	-1.037073	-21.035197
-20.002034	-1.033634	-21.035668
-20.005931	-1.030189	-21.036120
-20.009815	-1.026738	-21.036553
-20.013686	-1.023281	-21.036967
-20.017543	-1.019819	-21.037362
-20.021388	-1.016351	-21.037739
-20.025219	-1.012877	-21.038096
-20.029038	-1.009398	-21.038435
-20.032843	-1.005913	-21.038756
-20.036635	-1.002422	-21.039058
-20.040414	-0.998926	-21.039341
-20.044180	-0.995425	-21.039606
-20.047933	-0.991919	-21.039852
-20.051672	-0.988408	-21.040080
-20.055399	-0.984891	-21.040290
-20.059112	-0.981369	-21.040481
-20.062811	-0.977843	-21.040654
-20.066498	-0.974311	-21.040809
-20.070171	-0.970775	-21.040946
-20.073830	-0.967234	-21.041064
-20.077477	-0.963688	-21.041165
-20.081110	-0.960138	-21.041247
-20.084730	-0.956582	-21.041312
-20.088336	-0.953023	-21.041359
-20.091929	-0.949459	-21.041387
-20.095508	-0.945890	-21.041398
-20.099074	-0.942318	-21.041392
-20.102626	-0.938741	-21.041367
-20.106165	-0.935159	-21.041325
-20.109691	-0.931574	-21.041265
-20.113203	-0.927985	-21.041187
-20.116701	-0.924391	-21.041092
-20.120186	-0.920794	-21.040980
-20.123657	-0.917192	-21.040850
-20.127115	-0.913587	-21.040702
-20.130559	-0.909978	-21.040537
-20.133990	-0.906365	-21.040355
-20.137407	-0.902749	-21.040156
-20.140810	-0.899129	-21.039939
-20.144200	-0.895506	-21.039705
-20.147576	-0.891878	-21.039454
-20.150938	-0.888248	-21.039186
-20.154286	-0.884614	-21.038900
-20.157621	-0.880977	-21.038598
-20.160943	-0.877336	-21.038279
-20.164250	-0.873692	-21.037942
-20.167544	-0.870045	-21.037589
-20.170824	-0.866395	-21.037219
-20.174090	-0.862742	-21.036832
-20.177342	-0.859086	-21.036429
-20.180581	-0.855427	-21.036008
-20.183806	-0.851765	-21.035571
-20.187017	-0.848100	-21.035117
-20.190214	-0.844432	-21.034647
-20.193398	-0.840762	-21.034159
-20.196567	-0.837088	-21.033656
-20.199723	-0.833413	-21.033136
-20.202865	-0.829734	-21.032599
-20.205993	-0.826053	-21.032046
-20.209107	-0.822369	-21.031476
-20.212207	-0.818683	-21.030891
-20.215294	-0.814995	-21.030288
-20.218366	-0.811304	-21.029670
-20.221425	-0.807610	-21.029035
-20.224469	-0.803915	-21.028384
-20.227500	-0.800217	-21.027717
-20.230517	-0.796517	-21.027034
-20.233520	-0.792815	-21.026335
-20.236509	-0.789111	-21.025619
-20.239483	-0.785404	-21.024888
-20.242444	-0.781696	-21.024140
-20.245391	-0.777985	-21.023377
-20.248324	-0.774273	-21.022597
-20.251243	-0.770559	-21.021802
-20.254148	-0.766843	-21.020991
-20.257039	-0.763125	-21.020164
-20.259916	-0.759405	-21.019321
-20.262779	-0.755683	-21.018462
-20.265628	-0.751960	-21.017588
-20.268462	-0.748235	-21.016698
-20.271283	-0.744509	-21.015792
-20.274090	-0.740781	-21.014871
-20.276883	-0.737051	-21.013934
-20.279661	-0.733320	-21.012981
-20.282426	-0.729587	-21.012013
-20.285176	-0.725853	-21.011029
-20.287913	-0.722118	-21.010030
-20.290635	-0.718381	-21.009016
-20.293343	-0.714642	-21.007986
-20.296037	-0.710903	-21.006940
-20.298717	-0.707162	-21.005879
-20.301383	-0.703420	-21.004803
-20.304035	-0.699677	-21.003712
-20.306673	-0.695932	-21.002605
-20.309297	-0.692187	-21.001483
-20.311906	-0.688440	-21.000346
-20.314501	-0.684692	-20.999194
-20.317083	-0.680943	-20.998026
-20.319650	-0.677194	-20.996843
-20.322203	-0.673443	-20.995645
